Year,Country,Resettled by destination per capita,Remittances (% GDP),Five-year change immigrants,Refugees by destination,Child migrants (UNICEF),Resettled by origin,Child migrants (under-20s),Asylum seekers by origin (per capita),Child migrants per capita (under-20s),Five-year change immigrants per capita,Refugees by destination,Resettled by destination,Internal displacement (disasters),Annual internal displacements (Disaster),Asylum seekers by destination,Five-year change emigrants,Annual internal displacement from conflict (%),Refugees by destination (per capita),Refugees by origin (per capita),"Child migrants (UNICEF, under-18s)",Refugees by origin,Internal displacement (disaster),Emigrants,Annual internal displacement (conflict),Internal displacement share (conflict),Asylum seekers by origin,International immigrants (% population),International migrants,Internal displacement (conflict),Asylum seekers by destination (per capita),Resettled arrivals by origin (per capita),Annual internal displacement from disaster (%),Net migration rate,Remittances cost (to),Child migrants (UNDESA),Child migrants per capita (UNDESA),Net migration,Remittances cost (from),Five-year change emigrants per capita,International emigrants (% population),Refugees by destination (per capita)
1980,Guinea-Bissau,,,,,,,,,,,,,,,,,,,6.141,,4800,,,,,,,,,,,,-20.513,,,,-79367,,,,
1981,Guinea-Bissau,,,,,,,,,,,,,,,,,,,6.047,,4800,,,,,,,,,,,,,,,,,,,,
1982,Guinea-Bissau,,,,,,,,,,,,,,,,,,,5.925,,4802,,,,,,,,,,,,,,,,,,,,
1983,Guinea-Bissau,,,,,,,,,,,,,,,,,,,5.868,,4872,,,,,,,,,,,,,,,,,,,,
1984,Guinea-Bissau,,,,,,,,,,,,,,,,,,,6.042,,5143,,,,,,,,,,,,,,,,,,,,
1985,Guinea-Bissau,,,,,,,,,,,,,,,,,,,5.897,,5143,,,,,,,,,,,,-7.256,,,,-30001,,,,
1986,Guinea-Bissau,,,,,,,,,,,,,,,,,,,5.762,,5142,,,,,,,,,,,,,,,,,,,,
1987,Guinea-Bissau,,,,,,,,,,,,,,,,,,,5.632,,5141,,,,,,,,,,,,,,,,,,,,
1988,Guinea-Bissau,,,,,,,,,,,,,,,,,,,5.435,,5071,,,,,,,,,,,,,,,,,,,,
1989,Guinea-Bissau,,,,,,,,,,,,,,,,,,,5.244,,5001,,,,,,,,,,,,,,,,,,,,
1990,Guinea-Bissau,,0.586,,3004,,,7676,,7.871,,,,,,,,,3.08,5.129,,5002,,55406,,,,1.576,15368,,,,,-6.063,,5899,6.049,-28004,,,5.681,
1991,Guinea-Bissau,,0.53,,,,,,,,,8127,,,,,,,,5.016,,5004,,,,,,,,,,,,,,,,,,,,8.147
1992,Guinea-Bissau,,0.559,,,,,,,,,12886,,,,,,,,4.906,,5006,,,,,,,,,,,,,,,,,,,,12.63
1993,Guinea-Bissau,,0.621,,,,,,,,,15356,,,,,,,,3.998,,4171,,,,,,,,,,,,,,,,,,,,14.717
1994,Guinea-Bissau,,0.678,,,,,,,,,17510,,,,,,,,3.134,,3341,,,,,,,,,,,,,,,,,,,,16.421
1995,Guinea-Bissau,,0.709,12593,15350,,,13621,,12.51,11.565,18273,,,,,11743,,14.097,2.308,,2513,,67149,,,,2.568,27961,,,,,-5.813,,10709,9.835,-29999,,10.785,6.167,16.783
1996,Guinea-Bissau,,0.971,,,,,,,,,15449,,,,,,,,2.961,,3289,,,,,,,,,,,,,,,,,,,,13.908
1997,Guinea-Bissau,,1.365,,,,,,,,,12091,,,,,,,,2.582,,2924,,,,,,,,,,,,,,,,,,,,10.677
1998,Guinea-Bissau,,1.653,,,,,,,,,10538,,,,,,,,2.542,,2934,,,,,,,,,,,,,,,,,,,,9.129
1999,Guinea-Bissau,,2.016,,,,,,,,,8925,,,,,,,,2.503,,2946,,,,,,,,,,,,,,,,,,,,7.582
2000,Guinea-Bissau,,2.711,-7511,7587,,,9778,,8.139,-6.252,7256,,,,,10515,,6.316,2.472,,2969,,77664,,,,1.702,20450,,,,,-7.19,,7818,6.508,-41167,,8.753,6.465,6.04
2001,Guinea-Bissau,,3.292,,,,,,,,,7446,,,,,,,,1.13,,1386,,,,,,,,,,,,,,,,,,,,6.068
2002,Guinea-Bissau,,3.797,,,,,,34.071,,,7529,,,,134,,,,0.758,,950,,,,,427,,,,10.73,,,,,,,,,,,6.002
2003,Guinea-Bissau,,4.043,,,,,,26.354,,,7535,,,,157,,,,0.766,,983,,,,,338,,,,12.25,,,,,,,,,,,5.872
2004,Guinea-Bissau,,4.393,,,,,,18.698,,,7628,,,,145,,,,0.761,,999,,,,,245,,,,11.085,,,,,,,,,,,5.808
2005,Guinea-Bissau,,4.784,452,7782,,,10000,17.815,7.435,0.336,7673,,,,206,5182,,5.786,0.749,,1007,,82846,,,239,1.554,20902,,15.332,,,-4.388,,7998,5.947,-27932,,3.853,6.16,5.706
2006,Guinea-Bissau,,4.955,,,,,,17.857,,,7740,,,,255,,,,0.744,,1024,,,,,246,,,,18.569,,,,,,,,,,,5.619
2007,Guinea-Bissau,,5.091,,,,,,19.1,,,7812,,,,286,,,,0.739,,1042,,,,,269,,,,20.276,,,,,,,,,,,5.535
2008,Guinea-Bissau,,5.493,,,,,,19.946,,,7824,,,,318,,,,0.731,,1057,,,,,288,,,,22.019,,,,,,,,,,,5.407
2009,Guinea-Bissau,,5.579,,,,,,22.158,,,7823,,,,273,,,,0.729,,1081,,,,,328,,,,18.438,,,,,,,,,,,5.272
2010,Guinea-Bissau,,5.267,489,8009,,,9322,30.146,6.122,0.321,7806,,,,224,8700,,5.26,0.73,,1112,,91546,,,459,1.405,21391,,14.738,,,-2.441,,7677,5.042,-17502,,5.714,6.012,5.127
2011,Guinea-Bissau,,5.347,,,,,,41.356,,,7936,,,,180,,,,0.733,,1146,,,,,646,,,,11.529,,,,,,,,,,,5.078
2012,Guinea-Bissau,,5.922,,,,,,58.244,,,8094,,,,145,,,,0.74,,1187,,,,,934,,,,9.034,,,,,,,,,,,5.043
2013,Guinea-Bissau,,6.463,,,,,,75.923,,,8296,,,,103,,,,0.763,,1258,,,,,1251,,,,6.273,,,,,,,,,,,5.033
2014,Guinea-Bissau,,6.472,,,,,,90.249,,,8589,,,,91,,,,0.806,,1364,,,,,1527,,,,5.412,,,,,,,,,,,5.075
2015,Guinea-Bissau,,7.108,942,8807,,,9273,117.902,5.338,0.542,9275,,,,74,6605,,5.07,0.866,,1504,,98151,,,2048,1.286,22333,,4.306,,,-0.86,,7648,4.402,-7005,,3.802,5.65,5.339
2016,Guinea-Bissau,,7.59,,,,,,133.503,,,8538,,,,58,,,,0.936,,1668,,,,,2379,,,,3.265,,,,,,,,,,,4.791
2017,Guinea-Bissau,,7.938,,,,,,140.12,,,7171,,,,41,,,,0.999,,1825,,,,,2561,,,,2.254,,,,,,,,,,,3.923
2018,Guinea-Bissau,,8.035,,,,,,145.121,,,5803,,,,24,,,,0.992,,1858,,,,,2720,,,,1.291,,,,,,,,,,,3.096
2019,Guinea-Bissau,,,,,,,,149.293,,,4319,,0.021,,24,,,,0.968,,1858,400,,,,2867,,,,1.27,,,,,,,,,,,2.249
2020,Guinea-Bissau,,,-4388,1888,6000,,6404,,3.254,-2.23,,,,,,13639,,0.959,,3.049,,,111790,,,,0.912,17945,,,,,-0.755,,5368,2.728,-6996,,6.93,5.68,
1955,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.754,,,,1676,,,,
1960,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.495,,,,-1305,,,,
1965,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.795,,,,-14669,,,,
1970,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.547,,,,-42559,,,,
1975,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.988,,,,-54362,,,,
1980,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.72,,,,-52341,,,,
1984,Guyana,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.11,,,,-97340,,,,
1990,Guyana,,,,,,,1761,,2.369,,,,,,,,,,,,,,233318,,,,0.551,4095,,,,,-27.124,,1509,2.03,-102648,,,31.389,
1992,Guyana,,0.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,Guyana,,0.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,Guyana,,0.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Guyana,,0.972,2257,,,,2529,,3.322,2.965,,,,,,61974,,,,,,,295292,,,,0.834,6352,,,,,-15.384,,1838,2.414,-57867,,81.406,38.788,
1996,Guyana,,1.309,,,,,,,,,,,,,,,,,0.068,,51,,,,,,,,,,,,,,,,,,,,
1997,Guyana,,1.849,,,,,,,,,,,,,,,,,0.062,,47,,,,,,,,,,,,,,,,,,,,
1998,Guyana,,2.561,,,,,,,,,,,,,,,,,0.056,,42,,,,,,,,,,,,,,,,,,,,
1999,Guyana,,2.773,,,,,,,,,,,,,,,,,0.051,,38,,,,,,,,,,,,,,,,,,,,
2000,Guyana,,3.777,2258,,,,3296,,4.414,3.024,,,,,,66865,,,0.055,,41,,362157,,,,1.153,8610,,,,,-22.983,,2161,2.894,-86647,,89.545,48.5,
2001,Guyana,,6.06,,,,,,,,,,,,,,,,,0.065,,48,,,,,,,,,,,,,,,,,,,,
2002,Guyana,,9.354,,,,,,97.128,,,,,,,,,,,0.104,,77,,,,,723,,,,,,,,,,,,,,,
2003,Guyana,,13.469,,,,,,102.021,,,,,,,,,,,0.203,,151,,,,,760,,,,,,,,,,,,,,,
2004,Guyana,,14.675,,,,,,99.848,,,,,,,,,,,0.337,,251,,,,,744,,,,,,,,,,,,,,,
2005,Guyana,,15.31,2258,,,,2887,77.517,3.869,3.026,,,,,,30398,,,0.505,,376,,392555,,,578,1.457,10868,,,,,-16.947,,1734,2.324,-63249,,40.739,52.61,
2006,Guyana,,14.448,,,,,,50.165,,,,,,,,,,,0.674,,503,,,,,374,,,,,,,,,,,,,,,
2007,Guyana,,12.219,,,,,,40.912,,,,,,,,,,,0.817,,609,,,,,305,,,,,,,,,,,,,,,
2008,Guyana,,9.482,,,,,,35.136,,,,,,,,,,,0.908,,677,,,,,262,,,,,,,,,,,,,,,
2009,Guyana,,9.882,,,,,,29.797,,,,,,,,,,,0.969,,724,,,,,222,,,,,,,,,,,,,,,
2010,Guyana,,10.152,-2686,7,,,1505,25.192,2.008,-3.584,64,,,,,46678,,0.009,0.999,,749,,439233,,,188,1.092,8182,,,,,-13.394,,782,1.043,-50078,,62.285,58.609,0.086
2011,Guyana,,9.916,,,,,,21.382,,,46,,,,,,,,1.021,,767,,,,,160,,,,,,,,,,,,,,,0.062
2012,Guyana,,9.858,,,,,,16.654,,,9,,,,,,,,1.01,,762,,,,,125,,,,,,,,,,,,,,,0.012
2013,Guyana,,9.13,,,,,,17.964,,,10,,,,,,,,0.942,,715,,,,,136,,,,,,,,7.911,,,,,,,0.013
2014,Guyana,,8.098,,,,,,22.951,,,11,,,,,,,,0.806,,615,,,,,175,,,,,,,,8.417,,,,,,,0.014
2015,Guyana,,7.146,479,12,,,1199,33.488,1.562,0.624,13,,,,,42025,,0.016,0.661,,507,,481258,,,257,1.129,8661,,,,,-9.229,8.928,620,0.808,-34999,,54.76,62.71,0.017
2016,Guyana,,6.965,,,,,,44.078,,,15,,,,,,,,0.524,,404,,,,,340,,,,,,,,8.526,,,,,,,0.02
2017,Guyana,,6.838,,,,,,57.481,,,16,,,,,,,,0.414,,320,,,,,445,,,,,,,,8.39,,,,,,,0.021
2018,Guyana,,7.025,,,,,,69.653,,,18,,,,,,,,0.35,,272,,,,,542,,,,,,,,8.208,,,,,,,0.023
2019,Guyana,,,,,,,,83.089,,,20,,,,,,,,0.349,,273,,,,,650,,,,,,,,,,,,,,,0.026
2020,Guyana,,,22508,22079,4000,,5152,,6.55,28.616,,,,,,-42845,,28.07,,5.085,,,438413,,,,3.963,31169,,,,,-7.722,,3223,4.098,-30001,,-54.471,55.738,
1955,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.782,,,,-29999,,,,
1960,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.897,,,,-34999,,,,
1965,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.56,,,,-51997,,,,
1970,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.597,,,,-58003,,,,
1973,Haiti,,5.671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Haiti,,6.384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Haiti,,6.754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.603,,,,-88000,,,,
1976,Haiti,,7.349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,Haiti,,8.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,Haiti,,7.952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,Haiti,,7.964,,,,,,,,,,,,,,,,,0.485,,2680,,,,,,,,,,,,,,,,,,,,
1980,Haiti,,7.696,,,,,,,,,,,,,,,,,0.617,,3480,,,,,,,,,,,,-3.651,,,,-97999,,,,
1981,Haiti,,7.243,,,,,,,,,,,,,,,,,0.774,,4466,,,,,,,,,,,,,,,,,,,,
1982,Haiti,,6.665,,,,,,,,,,,,,,,,,0.828,,4894,,,,,,,,,,,,,,,,,,,,
1983,Haiti,,6.08,,,,,,,,,,,,,,,,,0.885,,5354,,,,,,,,,,,,,,,,,,,,
1984,Haiti,,5.278,,,,,,,,,,,,,,,,,0.868,,5378,,,,,,,,,,,,,,,,,,,,
1985,Haiti,,5.067,,,,,,,,,,,,,,,,,0.851,,5394,,,,,,,,,,,,-4.173,,,,-124999,,,,
1986,Haiti,,4.909,,,,,,,,,,,,,,,,,0.816,,5287,,,,,,,,,,,,,,,,,,,,
1987,Haiti,,4.816,,,,,,,,,,,,,,,,,0.736,,4868,,,,,,,,,,,,,,,,,,,,
1988,Haiti,,5.62,,,,,,,,,,,,,,,,,0.602,,4067,,,,,,,,,,,,,,,,,,,,
1989,Haiti,,6.743,,,,,,,,,,,,,,,,,0.495,,3414,,,,,,,,,,,,,,,,,,,,
1990,Haiti,,,,,,,3996,,0.568,,,,,,,,,,0.411,,2895,,524711,,,,0.271,19084,,,,,-4.037,,3343,0.475,-135001,,,7.455,
1991,Haiti,,,,,,,,,,,,,,,,,,,0.38,,2727,,,,,,,,,,,,,,,,,,,,
1992,Haiti,,,,,,1029,,,,,,,,,,,,,0.549,,4018,,,,,,,,,,14.064,,,,,,,,,,
1993,Haiti,,,,,,1323,,,,,,,,,,,,,0.856,,6385,,,,,,,,,,17.738,,,,,,,,,,
1994,Haiti,,,,,,1330,,,,,,,,,,,,,1.189,,9038,,,,,,,,,,17.497,,,,,,,,,,
1995,Haiti,,,-955,,,1334,4461,,0.576,-0.123,,,,,,136643,,,1.503,,11637,,661354,,,,0.234,18129,,,17.23,,-3.788,,3776,0.488,-140001,,17.644,8.54,
1996,Haiti,,,,,,1091,,,,,,,,,,,,,1.721,,13572,,,,,,,,,,13.835,,,,,,,,,,
1997,Haiti,,,,,,347,,,,,,,,,,,,,1.664,,13366,,,,,,,,,,4.331,,,,,,,,,,
1998,Haiti,,7.334,,,,,,,,,,,,,,,,,1.479,,12093,,,,,,,,,,,,,,,,,,,,
1999,Haiti,,8.354,,,,55,,,,,,,,,,,,,1.264,,10519,,,,,,,,,,0.666,,,,,,,,,,
2000,Haiti,,9.687,-907,,,49,8679,,1.025,-0.107,,,,,,140864,,,1.06,,8967,,802218,,,,0.203,17222,,,0.588,,-3.578,,6461,0.763,-144998,,16.643,9.478,
2001,Haiti,,11.289,,,,38,,,,,,,,,,,,,0.903,,7770,,,,,,,,,,0.444,,,,,,,,,,
2002,Haiti,,12.343,,,,25,,225.027,,,,,,,,,,,0.898,,7858,,,,,19699,,,,,0.286,,,,,,,,,,
2003,Haiti,,13.392,,,,,,207.359,,,,,,,,,,,1.017,,9053,,,,,18455,,,,,,,,,,,,,,,
2004,Haiti,,14.25,,,,19,,178.749,,,,,,,,,,,1.301,,11770,,,,,16171,,,,,0.214,,,,,,,,,,
2005,Haiti,,14.586,-862,,,18,8612,149.935,0.937,-0.094,,,,,,165676,,,1.597,,14681,,967894,,,13787,0.178,16360,,,0.2,,-3.171,,6307,0.686,-139999,,18.017,10.526,
2006,Haiti,,13.838,,,,17,,135.372,,,,,,,,,,,1.903,,17783,,,,,12650,,,,,0.184,,,,,,,,,,
2007,Haiti,,13.125,,,,,,124,,,,,,,,,,,2.187,,20763,,,,,11774,,,,,,,,,,,,,,,
2008,Haiti,,12.865,,,,,,108.942,,,,,,,,,,,2.408,,23233,,,,,10509,,,,,,,,,,,,,,,
2009,Haiti,,12.422,,,,,,100.977,,,,,,,,,,,2.633,,25796,,,,,9893,,,,,,,,,,,,,,,
2010,Haiti,,12.208,822,,,30,6806,84.096,0.684,0.083,,,,361556,,155296,,,2.92,,29053,,1123190,,,8367,0.173,17182,,,0.308,3.634,-2.883,,5144,0.517,-138004,,15.609,11.289,
2011,Haiti,,11.985,,,,,,67.964,,,,,,334024,8,,,,3.185,,32170,,,,,6864,,,,0.083,,3.307,,,,,,,,,
2012,Haiti,,12.225,,,,26,,56.889,,,,,,333342,8,,,,3.393,,34777,,,,,5831,,,,0.078,0.259,3.252,,,,,,,,,
2013,Haiti,,12.7,,,,,,60.056,,,,,,19097,8,,,,3.514,,36552,,,,,6246,,,,0.077,,0.184,,9.563,,,,,,,
2014,Haiti,,13.687,,,,,,87.633,,,,,,55039,,,,,3.39,,35756,,,,,9244,,,,,,0.522,,9.006,,,,,,,
2015,Haiti,,14.955,865,14,,,6083,150.739,0.569,0.081,,,,40771,7,343852,,0.001,3.154,,33729,,1467042,,,16122,0.169,18047,,0.073,,0.381,-2.906,8.732,4744,0.444,-150000,,32.149,13.716,
2016,Haiti,,16.384,,,,,,214.814,,,,,,42320,,,,,2.906,,31504,,,,,23285,,,,,,0.39,,8.206,,,,,,,
2017,Haiti,,18.273,,,,,,319.476,,,,,,41251,,,,,2.679,,29421,,,,,35086,,,,,,0.376,,8.064,,,,,,,
2018,Haiti,,19.6,,,,,,443.024,,,,,,43594,,,,,2.481,,27599,,,,,49278,,,,,,0.392,,7.626,,,,,,,
2019,Haiti,,,,,,,,568.651,,,,,0.453,,6,,,,2.394,,26968,51000,,,,64047,,,,0.059,,,,,,,,,,,
2020,Haiti,,,837,11,5000,,5877,,0.515,0.073,,,0.298,,,302629,,0.001,,0.438,,34000,1769671,,,,0.166,18884,,,,,-3.168,,4703,0.412,-175000,,26.541,15.52,
1982,Heavily indebted poor countries (HIPC),,1.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,Heavily indebted poor countries (HIPC),,1.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,Heavily indebted poor countries (HIPC),,0.949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,Heavily indebted poor countries (HIPC),,0.949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,Heavily indebted poor countries (HIPC),,0.937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,Heavily indebted poor countries (HIPC),,0.987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,Heavily indebted poor countries (HIPC),,0.944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,Heavily indebted poor countries (HIPC),,0.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Heavily indebted poor countries (HIPC),,0.984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,Heavily indebted poor countries (HIPC),,0.961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,Heavily indebted poor countries (HIPC),,0.924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,Heavily indebted poor countries (HIPC),,1.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,Heavily indebted poor countries (HIPC),,1.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Heavily indebted poor countries (HIPC),,1.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,Heavily indebted poor countries (HIPC),,1.277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,Heavily indebted poor countries (HIPC),,1.469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,Heavily indebted poor countries (HIPC),,1.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Heavily indebted poor countries (HIPC),,1.964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Heavily indebted poor countries (HIPC),,2.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Heavily indebted poor countries (HIPC),,2.547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Heavily indebted poor countries (HIPC),,2.774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Heavily indebted poor countries (HIPC),,2.856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Heavily indebted poor countries (HIPC),,2.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Heavily indebted poor countries (HIPC),,2.904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Heavily indebted poor countries (HIPC),,2.878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Heavily indebted poor countries (HIPC),,2.792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Heavily indebted poor countries (HIPC),,2.829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Heavily indebted poor countries (HIPC),,2.929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Heavily indebted poor countries (HIPC),,3.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Heavily indebted poor countries (HIPC),,3.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Heavily indebted poor countries (HIPC),,3.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Heavily indebted poor countries (HIPC),,3.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Heavily indebted poor countries (HIPC),,3.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Heavily indebted poor countries (HIPC),,3.318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Heavily indebted poor countries (HIPC),,3.494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Heavily indebted poor countries (HIPC),,3.691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Heavily indebted poor countries (HIPC),,3.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,High income,,0.227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,High income,,0.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,High income,,0.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,High income,,0.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,High income,,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,High income,,0.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,High income,,0.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,High income,,0.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,High income,,0.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,High income,,0.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,High income,,0.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,High income,,0.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,High income,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,High income,,0.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,High income,,0.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,High income,,0.189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,High income,,0.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,High income,,0.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,High income,,0.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,High income,,0.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,High income,,0.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,High income,,0.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,High income,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,High income,,0.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,High income,,0.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,High income,,0.213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,High income,,0.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,High income,,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,High income,,0.245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,High income,,0.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,High income,,0.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,High income,,0.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,High income,,0.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,High income,,0.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,High income,,0.277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,High income,,0.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,High income,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,High income,,0.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,High income,,0.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,High income,,0.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,High-income countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.339,,,,1215432,,,,
1960,High-income countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.634,,,,2418273,,,,
